x	f'(x)
1.000000	0.500000
1.100000	0.476732
1.200000	0.456435
1.300000	0.438529
1.400000	0.422578
1.500000	0.408249
1.600000	0.395284
1.700000	0.383482
1.800000	0.372677
1.900000	0.362737
2.000000	0.353553
2.100000	0.345033
2.200000	0.337101
2.300000	0.329692
2.400000	0.322748
2.500000	0.316229
2.600000	0.310088
2.700000	0.304290
2.800000	0.298808
2.900000	0.293610
3.000000	0.288674
3.100000	0.283982
3.200000	0.279508
3.300000	0.275240
3.400000	0.271163
3.500000	0.267262
3.600000	0.263523
3.700000	0.259939
3.800000	0.256495
3.900000	0.253184
4.000000	0.250000
4.100000	0.246931
4.200000	0.243974
4.300000	0.241123
4.400000	0.238365
4.500000	0.235700
4.600000	0.233125
4.700000	0.230633
4.800000	0.228217
4.900000	0.225877
5.000000	0.223608
5.100000	0.221405
5.200000	0.219265
5.300000	0.217186
5.400000	0.215166
5.500000	0.213198
5.600000	0.211289
5.700000	0.209428
5.800000	0.207612
5.900000	0.205849
6.000000	0.204126
6.100000	0.202443
6.200000	0.200804
6.300000	0.199205
6.400000	0.197642
6.500000	0.196114
6.600000	0.194627
6.700000	0.193165
6.800000	0.191740
6.900000	0.190346
7.000000	0.188982
7.100000	0.187645
7.200000	0.186340
7.300000	0.185061
7.400000	0.183804
7.500000	0.182574
7.600000	0.181370
7.700000	0.180185
7.800000	0.179030
7.900000	0.177893
8.000000	0.176774
8.100000	0.175682
8.200000	0.174607
8.300000	0.173550
8.400000	0.172515
8.500000	0.171498
8.600000	0.170499
8.700000	0.169513
8.800000	0.168550
8.900000	0.167599
9.000000	0.166667
9.100000	0.165752
9.200000	0.164846
9.300000	0.163958
9.400000	0.163083
9.500000	0.162221
9.600000	0.161373
9.700000	0.160543
9.800000	0.159717
9.900000	0.158913
10.000000	0.158114
